"ID","UniqueId","Date","Time","site","TYPE","MakeId","ModelId","All Data With MakeandModel Field_MakeandModel","Make and Model Lookup With MakeandModel Field_MakeandModel","Make Code","Make Desc","Model Code","Model Desc","Generic Model","PropulsionTypeId","Propulsion Type Code","Propulsion Type Desc","BodyTypeId","Body Type Code","Body Type Desc 1","BodyTypeDesc2","Postcode","MonthFirstReg","FirstRegMonth","YearManufacture","WheelPlanId","Wheel Plan Code","Wheel Plan Desc","GrossWeight","EngineSize","Co","Co2","Part","Nox","Hc","Hcnox","Euro","EuroStatusNum","Mass"
30,"1018894","18/06/2016","00:08:59","1",,"DD","74","DD_74","DD_74","DD","VAUXHALL","74","VECTRA SRI CDTI","VAUXHALL VECTRA","2","2","DIESEL","14","14","CARS","5 Door Hatchback","DL148","2005-12","2005-12-01","2005","C","C","2 AXLE RIGID BODY","0","1910","0.098","157","0.022","0.208","NULL","0.232","NULL","70/220*2003/76B","1503"
31,"873562","18/06/2016","00:09:54","1",,"LE","824","LE_824","LE_824","LE","RENAULT","824","MEGANE DYNAMIQUE","RENAULT MEGANE","1","1","PETROL","4","4","CARS","Convertible",,"2007-03","2007-03-01","2007","C","C","2 AXLE RIGID BODY","0","1598","0.37","166","NULL","0.046","0.066","NULL","NULL","70/220*2003/76B/CE","1395"
32,"860152","18/06/2016","00:10:36","1",,"RG","317","RG_317","RG_317","RG","KIA","317","PICANTO 12V","KIA PICANTO","1","1","PETROL","14","14","CARS","5 Door Hatchback","LS184","2009-03","2009-03-01","2009","C","C","2 AXLE RIGID BODY","1007","999","0.389","117","NULL","0.013","0.043","NULL","NULL","2003/76B","1007"
33,"843805","18/06/2016","00:10:51","1",,"MC","462","MC_462","MC_462","MC","VOLKSWAGEN","462","T-PORTER SHUT SE 102 LWB","VOLKSWAGEN TRANSPORTER","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","LS285","2009-07","2009-07-01","2009","C","C","2 AXLE RIGID BODY","0","1896","0.313","199","0.048","0.339","NULL","0.374","NULL","70/220/EWG*2006/96B/EC","2145"
34,"227480","18/06/2016","00:10:52","1","Private Hire","LP","825","LP_825","LP_825","LP","PEUGEOT","825","PARTNER TEPEE S HDI 92","PEUGEOT PARTNER","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","LS184","2011-09","2011-09-01","2011","C","C","2 AXLE RIGID BODY","0","1560","0.27","139","0.001","0.167","NULL","0.224","NULL","682/2008A/CE","1550"
35,"889414","18/06/2016","00:11:01","1",,"MA","819","MA_819","MA_819","MA","FORD","819","KA STYLE CLIMATE","FORD KA","1","1","PETROL","13","13","CARS","3 Door Hatchback","LS208","2007-05","2007-05-01","2007","C","C","2 AXLE RIGID BODY","0","1299","0.308","150","NULL","0.051","0.066","NULL","Euro 4","98/69/EC","962"
36,"841884","18/06/2016","00:11:39","1",,"B2","150","B2_150","B2_150","B2","LAND ROVER","150","DISCOVERY TD5 GS","LAND ROVER DISCOVERY","2","2","DIESEL","6","6","CARS","Estate","LS170","2001-04","2001-04-01","2001","C","C","2 AXLE RIGID BODY","2750","2495","0.631","262","0.08","1.308","0.072","1.38","NULL","96/69/EC","2255"
37,"831893","18/06/2016","00:11:45","1",,"R3","435","R3_435","R3_435","R3","MAZDA","435","5 SPORT D","MAZDA 5","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","HG035","2006-10","2006-10-01","2006","C","C","2 AXLE RIGID BODY","0","1998","0.213","173","0.001","0.17","NULL","0.189","NULL","70/220/EEC - 2003/76/EC(B)","1350"
38,"845672","18/06/2016","00:11:55","1",,"MT","36","MT_36","MT_36","MT","AUDI","36","TT S LINE TDI ULTRA","AUDI TTS","2","2","DIESEL","5","5","CARS","Coupe","LS212","2015-03","2015-03-01","2015","C","C","2 AXLE RIGID BODY","1665","1968","0.121","110","NULL","0.062","NULL","0.095","NULL","715/2007*136/2014W","1340"
39,"861409","18/06/2016","00:11:56","1",,"MK","686","MK_686","MK_686","MK","BMW","686","118D EXCLUSIVE EDITION","BMW 1 SERIES","2","2","DIESEL","4","4","CARS","Convertible","PE019","2013-09","2013-09-01","2013","C","C","2 AXLE RIGID BODY","0","1995","0.186","127","NULL","0.135","NULL","0.172","Euro 5","566/2011J","1560"
